Show,A,Z,N,symb,symb A,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,Total BE MeV,atomic mass, unc, mass excess,unc
0,8,4,4,Be,Be 8,,,0, ,0+, ,5.57,25,eV,8.19098231726007E-17,1.82495086028554E-15,A,100, , , , , , , ,0, , , , ,-17979.896,1000,-30806.2,25,91.84,4,-16004.133,59,18898.64,8,17254.4,4,7062.435,4,56.49948,8005305.102,37,4941.671,35
0,8,5,3,B,B 8,,,0, ,2+, ,770,3,ms,0.77,0.003,B+A,100, ,EC+B+,100, , , , ,1,1.0355, ,0.0683, ,-12142.701,18270,,,-4826.54,212,17979.896,1000,12826.3,25,136.4,100,4717.155,125,37.73724,8024607.316,1073,22921.567,1000
0,8,6,2,C,C 8,,,0, ,0+, ,130,50,keV,3.5095208851645E-21,9.1247543014277E-21,2P,100, , , , , , , ,2, , , , ,,,,,,,12142.701,18,,,-98.75,31,3101.524,2280,24.812192,8037643.042,19584,35064.268,18243
0,9,2,7,He,He 9,,,0, ,1/2+, , , , , , ,N,100, , , , , , , ,5/2, , , , ,15980.924,46817,11918.7,47,,,,,-1254.83,47,,,3349.037,5202,30.141333,9043946.419,50259,40935.826,46816
0,9,3,6,Li,Li 9,2.245,460,0, ,3/2-, ,178.3,4,ms,0.1783,0.0004,B-,100, ,B-N,50.8,0.2, , , ,3/2,3.4391, ,-0.0274, ,13606.449,201,11941.91,19,-10362.46,89,-15980.924,47,4062.22,19,13943.75,21,5037.768,21,45.339912,9026790.191,200,24954.902,186
2,9,4,5,Be,Be 9,2.519,120,0, ,3/2-, ,STABLE, , , , , , , , , , , , , ,1/2,-1.1778, ,0.05288, ,-1068.035,899,-19644.43,100,-2307.7,20,-13606.449,201,1664.54,8,16886.32,9,6462.668,9,58.164012,9012183.066,82,11348.453,77
0,9,5,4,B,B 9,,,0, ,3/2-, ,0.54,21,keV,8.44884657539603E-19,2.17256054795898E-18,P,100, , , , , , , ,1/2, , , , ,-16494.484,2319,-30719.1,18,-1687.31,50,1068.035,906,18576.4,135,-185.85,90,6257.07,100,56.31363,9013329.649,969,12416.488,903
0,9,6,3,C,C 9,,,0, ,(3/2-), ,126.5,9,ms,0.1265,0.0009,EC+B+,100, ,B+P,61.6, ,B+A,38.4, ,3/2,-1.3914, , , ,,,,,-10653,2003,16494.484,231,14224.61,18,1299.57,236,4337.423,237,39.036807,9031037.207,2293,28910.972,2137
0,10,2,8,He,He 10,,,0, ,(0+), ,300,200,keV,1.5207923835713E-21,2.2811885753569E-21,N,100, , , , , , , ,3, , , , ,16144.519,93715,16170.92,93,,,,,-190,104,,,2995.134,9285,29.95134,10052815.308,99676,49197.143,92848
0,10,3,7,Li,Li 10,,,0,25,(1- 2-), , , , , , ,N,100, , , , , , , ,2, , , , ,20445.136,12722,13632.85,13,-11248.01,254,-16144.519,94,-26.4,13,15172.17,49,4531.351,1272,45.31351,10035483.453,13656,33052.624,12721
0,10,4,6,Be,Be 10,2.355,170,0, ,0+, ,1510000,4,Y,47650958221633.9,1262277038983.68,B-,100, , , , , , , ,1, , , , ,556.878,82,-7880.32,90,-7409.52,10,-20445.136,13,6812.28,5,19636.39,20,6497.63,8,64.9763,10013534.695,86,12607.488,81
2,10,5,5,B,B 10,2.4277,499,0, ,3+, ,STABLE, , , , , , , , , , , , , ,0,1.80064478, ,0.08472, ,-3648.062,69,-24931.68,214,-4461.19,1,-556.879,82,8437.2,90,6586.81,8,6475.083,2,64.75083,10012936.862,16,12050.609,15
0,10,6,4,C,C 10,,,0, ,0+, ,19.29,12,s,19.29,0.012,EC+B+,100, , , , , , , ,1, , , , ,-23101.355,400000,,,-5101.28,5,3648.063,72,21283.62,214,4006.79,91,6032.042,7,60.32042,10016853.218,75,15698.672,70
0,10,7,3,N,N 10,,,0, ,(1-), ,2.5,+20-15,MeV,1.82495086028554E-22, ,P,100, , , , , , , ,2, , , , ,,,,,-10945,2042,23101.354,400,,,-2600.08,400,3643.672,40000,36.43672,10041653.543,429417,38800.026,400000
0,11,3,8,Li,Li 11,2.482,429,0, ,3/2-, ,8.75,14,ms,0.00875,0.00014,B-,100, ,B-5N, , ,B-5N, , ,5/2,3.6673, , , ,20551.087,659,20049.45,62,-10832,1004,,,395.69,13,15757.86,93,4155.381,56,45.709191,11043723.581,660,40728.254,615
0,11,4,7,Be,Be 11,2.463,150,0, ,1/2+, ,13.76,7,s,13.76,0.07,B-,100, ,B-A,3.1, ,B-P,0.00083, ,3/2,-1.6814, , , ,11509.46,238,55.24,24,-8320.87,8,-20551.087,659,501.64,25,20164.43,13,5952.54,22,65.47794,11021661.081,255,20177.167,238
