nodeID,Element,#Protons,X,Y,Z,Radius,Volume,Ratio
253, Copper 63 ,63,-46.3434,77.8855,67.7844,409.205,287019000,4555850
719, Copper 65,65,-46.3434,77.8855,67.7844,409.205,287019000,4415670
773, Max Cu isotope 80,80,-73.7869,68.2344,1.76009,466.259,424592000,5307400
292, Zinc 64,64,-52.7826,80.7566,55.1171,407.994,284479000,4444990
254, Gallium,69,-49.4768,77.7319,-14.9639,443.638,365742000,5300610
2613, Gallium 71,71,-49.4768,77.7319,-14.9639,443.638,365742000,5151290
257, Germanium 70,70,-25.1865,105.725,29.822,444.516,367918000,5255980
471, Germanium 74 try-out,74,-88.1739,145.195,43.7677,447.158,374516000,5061030
447, Arsenic 74,74,-49.4768,77.7319,-14.9639,443.638,365742000,4942460
1321, Arsenic 75,75,-49.4768,77.7319,-14.9639,443.638,365742000,4876560
2612, Selenium 74,74,0,67.6068,0,421.924,314625000,4251680
2679, Bromine 73 TRYOUT,69,0,77.2312,0,479.211,460966000,6680670
449, Bromine 79 ,79,0,77.2312,0,479.211,460966000,5835020
448, Bromine 81,81,-118.48,115.928,13.8155,466.126,424229000,5237390
716, CACA krypton in between state ,80,3.3948,75.3217,139.901,425.483,322653000,4033160
2333, Kr left branch growth,80,118.48,115.928,-13.8155,466.126,424229000,5302860
453, Krypton 80 ,80,0,77.2312,0,479.211,460966000,5762080
2561, Krypton 92 (Fission Product),92,-138.662,92.1728,7.09725,483.438,473272000,5144260
288, Rubidium 85,85,-0.92093,83.337,1.02873,477.966,457383000,5380980
2648, Rubidium 87,87,-0.92093,83.337,1.02873,477.966,457383000,5257280
771, Strontium 84,84,-0.92093,83.337,1.02873,477.966,457383000,5445040
454, Strontium 86,86,-1.92312,88.3165,7.89079,474.091,446349000,5190100
2656, Strontium 88 ALT ,88,0,84.2209,0,476.674,453684000,5155500
770, Yttrium 89,89,0,84.2209,0,476.674,453684000,5097570
769, Zirconium 88,88,0,84.2209,0,476.674,453684000,5155500
2106, Zirconium 90,90,0,84.2209,0,476.674,453684000,5040930
684, Niobium,93,-42.2517,86.6259,-29.0326,505.912,542392000,5832170
2649, Molybdenum 92,92,-41.1802,102.106,-23.049,504.704,538517000,5853450
485, Molybdenum 94,94,-41.1802,102.106,-23.049,504.704,538517000,5728900
1867, Technetium 100,100,-84.4043,171.006,57.0394,510.131,556076000,5560760
685, technetium 94,94,-41.1802,102.106,-23.049,504.704,538517000,5728900
686, ruthenium 96,96,-38.5152,143.025,-4.16456,513.206,566192000,5897830
436, Rhodium 103 try-out,103,-38.5152,143.025,-4.16456,513.206,566192000,5497010
458, Palladium 104,104,-64.016,96.8525,-23.0041,528.685,618983000,5951760
459, Silver 107 ,107,-64.016,96.8525,-23.0041,528.685,618983000,5784890
790, Silver 109,109,-45.3715,85.003,14.0001,526.11,609983000,5596180
1308, Cadmium 106,106,-64.016,96.8525,-23.0041,528.685,618983000,5839460
687, Cadmium 108,108,-64.016,96.8525,-23.0041,528.685,618983000,5731320
2628, Cadmium 113 ,113,-71.6748,74.7633,-24.5952,534.875,640981000,5672400
2629, Indium 111 ,111,-63.9022,103.013,-19.172,527.234,613901000,5530640
690, Indium 113,113,-69.0667,100.333,-13.0862,534.201,638562000,5650990
701, Tin 114,114,-72.2097,115.268,-1.60817,542.257,667888000,5858670
1860, Antimony 121,121,-8.37603,134.509,28.3261,597.43,893203000,7381840
1859, Antimony 123,123,-5.21733,134.342,27.1649,594.105,878372000,7141230
703, Tellurium 120,120,-32.8809,173.918,13.3446,579.679,815927000,6799390
2654, Tellurium 122,122,-32.8809,173.918,13.3446,579.679,815927000,6687930
1865, Iodine ,127,-21.0249,92.3563,-43.0713,575.461,798245000,6285390
1871, Xenon linear default,128,0,153.317,0,583.541,832342000,6502670
1325, Cesium 133,133,-0.461698,112.806,-29.3737,590.222,861260000,6475640
1873, Barium 130,130,4.47414,134.051,-27.0502,593.365,875094000,6731490
707, Barium 134,134,4.47414,134.051,-27.0502,593.365,875094000,6530550
1872, Barium 138,138,5.62527,162.43,40.595,600.676,907841000,6578560
2562, Barium 141 FP,141,-6.00077,149.967,-5.88853,620.263,999577000,7089200
2652, Lanthanum 138,136,0,153.317,0,583.541,832342000,6120160
708, Lanthanum 139,137,0,153.317,0,583.541,832342000,6075490
711, Cerium 136,136,0,153.317,0,583.541,832342000,6120160
2630, Cerium 140,140,8.37603,134.509,-28.3261,597.43,893203000,6380020
1327, Praseodymium 141,141,0,153.317,0,583.541,832342000,5903130
1826, Neodymium 142,142,0,153.317,0,583.541,832342000,5861560
2566, Neodymium 144,144,8.37603,134.509,-28.3261,597.43,893203000,6202800
1876, Promethium 145 ,145,8.37603,134.509,-28.3261,597.43,893203000,6160020
2637, promethium 147,147,2.01606,109.646,-24.6894,605.714,930877000,6332500
2633, Samarium 144 TRY-OUT,144,8.37603,134.509,-28.3261,597.43,893203000,6202800
2634, Samarium 145 ,145,8.37603,134.509,-28.3261,597.43,893203000,6160020
2632, Samarium 148,148,2.01606,109.646,-24.6894,605.714,930877000,6289710
1877, Samarium 149,149,8.37603,134.509,-28.3261,597.43,893203000,5994650
2635, Samarium 154,154,20.5196,94.9437,-42.8711,648.044,1139990000,7402560
2636, Sm fission product 151,151,42.1636,96.8392,2.19188,636.09,1078060000,7139480
2623, Europium 151,151,2.01606,109.646,-24.6894,605.714,930877000,6164750
2638, Gadolinium 152 ALT,152,8.37603,134.509,-28.3261,597.43,893203000,5876330
1879, Gadolinium 154,154,2.01606,109.646,-24.6894,605.714,930877000,6044660
1880, Terbium 159,159,8.37603,134.509,-28.3261,597.43,893203000,5617630
1887, Disprosium 156 alternative,156,8.37603,134.509,-28.3261,597.43,893203000,5725660
1881, Dysprosium 156,156,8.37603,134.509,-28.3261,597.43,893203000,5725660
